GRE_Score,TOEFL_Score,CGPA,Work_Experience,Preferred_Country,Preferred_Course,Chance_of_Admit
332,111,6.907282392599166,7,Australia,Data Science,0.4784792831225163
281,111,9.36107397971917,50,Germany,Computer Science,0.5874041612038453
299,117,7.83218152716803,45,Australia,Engineering,0.48531381096600273
307,118,9.572910121557744,41,UK,Engineering,0.7403140590989963
326,97,9.538198415376076,16,UK,Data Science,0.6972975027001168
339,106,9.320738900411675,8,Canada,MBA,0.6939078681639157
286,96,9.265106527074714,5,Canada,Computer Science,0.3900055206857158
323,90,7.566376986843142,42,Canada,Engineering,0.4290120034088947
287,102,6.783217490679383,24,Australia,Computer Science,0.1066969205878766
326,119,7.910430625678066,38,Australia,Engineering,0.6770204805382797
314,112,7.107335802452781,48,Germany,MBA,0.572273399244304
293,108,8.932328811158616,59,Canada,Engineering,0.5367907044989251
296,116,7.711349042882249,27,USA,Engineering,0.4640739023594292
315,113,9.914635703009703,32,Germany,Business Analytics,0.7181443913558859
329,108,8.743402270708662,53,USA,MBA,0.7305282216919861
319,119,9.378681972720264,36,Australia,Data Science,0.8343928391432333
283,119,6.963836354596469,8,Germany,Data Science,0.20698791982713377
281,118,9.517050687954178,17,Germany,MBA,0.5315714721894552
285,106,9.72965016679688,55,UK,Data Science,0.5215277263799538
333,102,8.204716715866276,58,Australia,MBA,0.6316145503302628
321,118,8.62188528212842,20,Australia,Data Science,0.5421875590003558
283,119,9.176834303160485,1,Germany,Business Analytics,0.4898828263549483
333,105,7.111935195411444,57,Australia,Data Science,0.5940173288517439
308,97,8.258981267622048,42,Germany,Engineering,0.46994468625683655
297,108,7.895320597203096,58,UK,MBA,0.49375955947176486
305,107,7.012308972567872,59,Germany,Computer Science,0.39976307410237727
323,90,7.78637047802036,37,Australia,Computer Science,0.4915410372103344
313,103,6.738603082849227,57,Australia,MBA,0.4062420205104573
289,108,6.590341674323205,39,Germany,Business Analytics,0.14354159498961688
315,104,6.973082012041879,35,Germany,Data Science,0.43356555656657014
293,107,9.870902890562109,49,Germany,Business Analytics,0.6382689049065119
310,91,8.423353375632558,59,Canada,Computer Science,0.4587928407975864
327,111,9.88037756403627,42,Australia,MBA,0.8093821658440878
294,117,8.013742574155462,36,Australia,MBA,0.37289566890473075
287,106,7.591356465798409,14,Canada,Business Analytics,0.21223198767215168
293,107,8.271496519940854,27,Germany,Business Analytics,0.427104225641867
302,119,8.038290910215185,17,UK,Data Science,0.4846402597701923
339,95,6.869826394916104,33,Germany,Engineering,0.460087815417456
336,108,8.742892101415721,21,Germany,Engineering,0.6789910192642573
319,93,7.256133638783599,10,Canada,Data Science,0.2867720168302393
300,90,8.668557842142404,57,Australia,Engineering,0.48761222498610357
295,97,8.775703823393536,56,Germany,Computer Science,0.48822006461186707
324,118,7.032086985950269,12,Australia,Engineering,0.3695208613477
297,112,6.714723694887338,3,USA,Data Science,0.1884191012937378
326,96,9.232665551239538,21,Australia,Engineering,0.6692816959858271
332,92,8.10930148319262,6,UK,MBA,0.5483348771104752
303,99,6.703573284269165,42,UK,Business Analytics,0.3208292704081247
305,99,9.982032110094185,53,Germany,Computer Science,0.7776314149175274
304,108,6.702231963487283,23,Australia,MBA,0.2948816549052946
339,103,8.932623301004936,3,Germany,MBA,0.7326328957785481
339,91,9.942876238421947,27,Canada,Data Science,0.8636959921217945
339,117,7.3371303647557395,14,UK,Business Analytics,0.47399856678456087
324,90,6.997872790405187,0,Germany,Business Analytics,0.2879744128315201
320,112,6.924847287978501,54,Canada,Computer Science,0.4978754852233486
308,112,7.561463016486584,2,Germany,Data Science,0.3551048682478332
294,117,6.853660338537264,13,Australia,Computer Science,0.302514101311828
324,107,8.922564695929461,37,Australia,Engineering,0.6764207901097465
280,96,6.7180212934552195,49,Australia,MBA,0.1406442732324229
304,118,8.282977448524264,56,Australia,Computer Science,0.6024385960080668
286,97,9.988438988485418,0,USA,MBA,0.5239084705096102
288,90,9.348895943271065,37,Canada,Data Science,0.4672150126465413
303,114,8.653268033808537,37,Canada,Engineering,0.6049355127052108
280,112,7.571887672753141,20,Australia,Data Science,0.2686487933006901
323,92,8.683635427020734,47,USA,Engineering,0.614661535024236
287,113,8.34464512369078,28,Australia,Engineering,0.3703558590405016
303,112,7.991291843616301,4,USA,MBA,0.38044732858515906
290,116,6.957486318590698,48,Australia,Data Science,0.3471507202677834
330,118,9.603114753341634,9,UK,Data Science,0.7033248900648599
296,97,8.074246270874628,27,UK,Computer Science,0.32090302358391526
287,111,7.181178791372678,20,Germany,Data Science,0.2835045931570006
314,114,7.787157728070514,49,Australia,Computer Science,0.5660953361653174
314,104,7.949454133851244,6,Canada,Business Analytics,0.4609701722444562
312,94,9.396382634484059,2,Germany,Business Analytics,0.4859896073174915
338,92,9.067650331964908,44,UK,Business Analytics,0.706325863524823
284,108,9.19256712774469,46,Australia,Data Science,0.4991285869123445
321,90,6.538609425500265,19,Germany,Data Science,0.2922189332269252
318,117,7.956538993629165,18,Australia,Computer Science,0.595998905073167
337,104,8.184704530723632,34,UK,Engineering,0.6567039020167694
320,97,6.567172968880699,3,Germany,Computer Science,0.3032366245430518
307,91,7.409346230607619,4,UK,Business Analytics,0.25555027664240676
286,92,9.161014380927472,0,USA,Computer Science,0.38439562099861285
288,113,6.979883970051497,3,UK,Engineering,0.2211147694222227
287,103,8.37358546008407,11,Australia,Data Science,0.29037764925174825
291,113,7.253206552060331,59,Canada,Computer Science,0.4159168182418253
313,103,6.542422711253627,26,UK,Business Analytics,0.2500834751680319
312,100,7.344205101598395,55,Canada,Business Analytics,0.5609370306182622
327,105,9.915558142185189,41,USA,Data Science,0.7861450940252549
334,93,9.305379891590464,22,Germany,Computer Science,0.6928667375256458
302,109,9.858518255123617,24,Germany,Engineering,0.6482099967521335
303,94,8.20748915374227,20,Canada,Data Science,0.3184609463687498
316,111,6.884076695371262,57,Germany,Computer Science,0.37646832796777274
314,110,8.417858211407925,51,UK,MBA,0.6541344933431836
323,103,8.090320670959862,23,Canada,Business Analytics,0.5967179801625372
319,112,9.455249789588656,24,Australia,Engineering,0.6660026477353284
301,105,6.843289032744856,44,UK,Engineering,0.2463984063357183
306,107,8.208843979576223,54,UK,Engineering,0.5290383181876299
314,96,7.025170326428945,45,UK,Business Analytics,0.32566361361565704
280,99,7.63636574411521,31,Australia,Computer Science,0.21985458676291939
314,96,9.080749770857299,54,USA,Data Science,0.660461515941384
316,90,8.166063452790683,31,Germany,Computer Science,0.44538409937736473
326,112,7.815608998010193,4,Canada,Data Science,0.4588799361142069
293,110,7.8806669749951235,35,USA,Engineering,0.4397155507410739
282,108,8.108063689420954,45,Canada,Computer Science,0.42962232461618427
280,105,9.2475579034297,41,Germany,Engineering,0.4746537432325916
284,118,9.62229641129082,48,Australia,MBA,0.6437297016219968
305,108,9.84367140276375,41,UK,Engineering,0.7256589687554201
334,93,9.254161851893533,57,UK,Engineering,0.763566511051288
293,118,7.603924135118044,38,Australia,Data Science,0.42819346264748165
318,117,8.908471471302898,15,USA,MBA,0.7093831883458817
306,107,8.031610934193871,32,USA,Engineering,0.499175290272916
288,91,7.39134717716118,48,Canada,Engineering,0.2443342979935339
294,90,9.44305052799073,20,Australia,MBA,0.4341151783854239
294,104,6.634492221368138,8,USA,MBA,0.14746622207809634
305,94,9.656166972473983,5,Australia,Computer Science,0.54981084421556
321,109,8.115171126186569,50,Germany,Data Science,0.5784536078497983
339,100,8.73020516882898,44,UK,MBA,0.6886356362631718
292,99,8.807738727720238,34,UK,MBA,0.5066426882881037
330,91,9.632912092472878,38,UK,Business Analytics,0.7176286943859842
311,92,8.728343887585226,21,Australia,MBA,0.5320945042229422
318,112,8.648767546660217,40,Australia,Data Science,0.6854764275716418
328,112,6.733282141962415,53,Canada,Engineering,0.4503272247707728
331,101,8.314428076808214,4,UK,Engineering,0.5222565558660467
311,109,7.025591502859646,41,Canada,Engineering,0.46206505232524375
283,94,9.0810181905252,22,UK,Engineering,0.32386470423104363
309,94,8.29277672284436,16,Canada,Business Analytics,0.4308743093430036
316,95,8.880797227229237,11,Canada,MBA,0.5026292879984042
302,119,6.645855152108345,22,Germany,Engineering,0.2389297231348343
318,98,6.796772056160311,15,Canada,Computer Science,0.30739977164426785
324,91,9.007131858219388,2,Australia,Engineering,0.4746559544187463
294,110,6.752295175995357,29,Canada,MBA,0.2129511452936481
322,101,6.749398547178405,56,UK,Engineering,0.43395972489723506
308,92,6.542379663322106,21,Canada,Business Analytics,0.11080074313130463
315,109,9.84775489404818,8,USA,Data Science,0.6388860446905479
292,115,9.081279258106525,28,UK,Data Science,0.6775620564087352
311,111,7.736379929757224,46,USA,MBA,0.5488116830711728
286,101,7.537874534506793,36,UK,Data Science,0.24954298720669438
338,113,7.723961304110473,22,Australia,Data Science,0.6700895889033597
330,106,9.211287359134136,12,Australia,Computer Science,0.6202592344336161
301,99,8.81479713874645,31,Australia,MBA,0.464363486771392
307,119,7.148184487536138,45,USA,MBA,0.4091356566505228
281,113,7.1093826736692955,51,Germany,Data Science,0.32994772806693484
321,116,6.84438477399689,46,UK,Data Science,0.5577897409902153
324,103,8.811059518954684,47,Australia,Data Science,0.6166707762525424
336,112,9.175304317776076,22,UK,Business Analytics,0.64772691301824
332,106,7.427662499137514,44,USA,Engineering,0.6105669050559727
285,107,6.573307363608195,16,Germany,Business Analytics,0.23606800946674916
307,108,6.7876008361674955,54,USA,MBA,0.2931146436698343
307,106,9.887510121957607,39,UK,Computer Science,0.7226467310103345
323,103,7.5340567211709715,20,Germany,Engineering,0.45950317859673256
323,98,9.192281017433467,1,Germany,Computer Science,0.5258154938908657
299,97,8.686322490989923,36,USA,MBA,0.4001476442082438
309,91,7.836788738785136,5,Australia,MBA,0.3648633731334862
290,102,7.219905417684442,43,UK,Computer Science,0.30872843145108175
337,114,6.924852463557922,17,Canada,Computer Science,0.5087758901350985
334,96,8.652545388136033,29,Canada,Computer Science,0.5874167195738866
307,98,9.211218232232259,21,USA,MBA,0.4972580520326174
304,111,8.753664887393958,53,UK,Data Science,0.49231302435275504
318,111,8.356057466372054,32,UK,Computer Science,0.5757194518104193
312,100,6.646829282010727,29,USA,Engineering,0.37122180834536567
280,103,9.889710721580343,16,UK,MBA,0.4478827900353208
336,93,9.295499670791012,42,Australia,Business Analytics,0.6433649419484929
306,115,7.524877128453377,31,USA,Business Analytics,0.471412043003236
336,115,9.929896152755976,41,Australia,Engineering,0.930492131665857
331,118,8.606585563727126,50,UK,Data Science,0.7314573378204698
292,102,8.538479303725364,13,USA,Computer Science,0.3680308400479167
320,91,9.118256128003363,57,UK,MBA,0.6599244276327508
282,112,9.341194258315483,9,USA,Computer Science,0.45943044180458886
318,94,8.797675125660259,46,UK,MBA,0.6375979097203001
285,100,6.9483351122817005,59,Australia,Business Analytics,0.39560042734269096
287,95,7.683936270980745,50,Australia,Computer Science,0.2348488246382766
306,107,9.748292741141174,35,UK,Engineering,0.735221212658319
288,110,7.286154641453482,33,USA,Data Science,0.31760922978870754
316,99,7.802584583431297,8,Canada,Engineering,0.46327685647771344
312,93,8.012269090304686,41,Australia,Data Science,0.48654847874096235
330,98,8.037917463930583,27,Australia,Computer Science,0.5363198188745665
321,95,8.645288538730838,10,Canada,Computer Science,0.5381769801198618
323,91,9.800765432106477,13,UK,Data Science,0.6100225465386433
303,106,7.342424491413768,38,USA,Business Analytics,0.3475620136277593
294,94,6.925254817053213,54,UK,MBA,0.3141437063002847
338,114,7.191146714509781,46,Germany,Engineering,0.5617717735044997
333,95,9.604237150732443,53,Australia,Engineering,0.809388589665786
311,115,8.760337844293222,18,Germany,Engineering,0.5848617042164574
311,101,7.50067376233706,53,Australia,Computer Science,0.34039063313953516
303,112,9.35581428639016,14,Australia,Engineering,0.5576596530642999
320,110,9.514794987272026,27,Germany,MBA,0.7287899082966055
331,99,9.462800185415972,23,Germany,MBA,0.6758057022806865
328,111,9.71624286773844,7,UK,Data Science,0.6027340078677126
328,110,7.382843570606766,42,Germany,Computer Science,0.6119339144606526
337,116,9.142646750611974,8,UK,MBA,0.7454855240620919
331,114,8.11188824045949,46,UK,Business Analytics,0.6964027634731461
291,95,9.446994935115216,32,UK,Computer Science,0.47313561354711253
318,116,9.049717370065647,32,Australia,Computer Science,0.7179707552719782
281,97,9.217566062749036,18,Australia,MBA,0.4873199858292249
282,91,8.79656643188375,2,Germany,Business Analytics,0.24571108589106075
328,101,7.121000693143974,9,Australia,Data Science,0.47182214305573633
316,102,8.407594216139284,39,Germany,MBA,0.5754389708533756
328,114,9.946344088335778,46,Australia,Business Analytics,0.8253962584079599
335,110,9.780858232739917,41,USA,Computer Science,0.963074758478398
296,96,6.651108075289541,0,USA,Business Analytics,0.14685150631325125
338,99,7.07685185505303,28,Germany,Computer Science,0.5047498597304269
328,102,6.961050707090966,49,Australia,MBA,0.46172390414548686
281,106,9.040929684948534,33,Australia,MBA,0.41807563172764234
281,115,9.362248654499307,50,UK,Engineering,0.5905047941765675
307,110,7.247289782087352,12,Canada,Engineering,0.4294777326984352
333,117,8.270484425331402,53,Germany,Engineering,0.7193580865714471
302,119,9.442460598039201,0,Canada,MBA,0.5899436489257731
316,115,9.064805406681877,33,Canada,Data Science,0.7534370415054795
311,103,8.397830219221468,28,Germany,MBA,0.49187853990652725
312,91,8.566216916605704,47,Australia,Business Analytics,0.5441528917419651
280,117,8.27926191420698,46,Germany,MBA,0.4972117441034969
298,111,7.541419579615872,12,Canada,MBA,0.33418033308367906
281,100,8.477576975006556,47,Australia,Computer Science,0.4140006768036026
332,90,8.911098557175318,48,USA,Computer Science,0.688609259704095
323,108,9.556630205512826,52,Germany,Computer Science,0.7642834066671167
305,110,8.727019738927368,28,Germany,MBA,0.5903047998411988
311,93,9.163925379651053,38,Australia,Data Science,0.5420993106444912
285,108,7.060250722341006,23,USA,Business Analytics,0.20277427503380466
311,115,8.115451160469265,25,USA,Business Analytics,0.45077093672689306
334,118,6.532660669394827,16,Australia,Data Science,0.42855953073578434
283,110,7.363376025825681,6,UK,Data Science,0.18789641071513818
334,100,9.042616002895517,12,Germany,Business Analytics,0.6205409882324533
290,97,9.971334829722771,4,Germany,Engineering,0.5223236121354696
335,100,6.847123348555256,25,Canada,Computer Science,0.34088752716613113
338,93,7.905230105514509,48,Australia,Computer Science,0.48686418161515993
296,106,9.300248390447058,2,Canada,Business Analytics,0.4475744266470996
317,116,7.214124721201146,6,Canada,Data Science,0.4346757785308924
303,96,8.442797322558002,57,USA,Engineering,0.5239772270718989
284,97,9.065749536103862,48,Germany,Business Analytics,0.42997540176632365
331,92,8.655949075910627,38,Canada,Computer Science,0.6648645917118947
313,111,7.158086571153957,52,USA,MBA,0.4422893970902495
285,91,7.743845990400088,0,Australia,Data Science,0.19527652678065205
301,112,9.24327124569889,48,Canada,MBA,0.6303773974174502
290,104,8.439792799462058,16,Germany,Business Analytics,0.33825178810312384
327,113,6.518303647400194,42,Canada,Computer Science,0.42683850601142803
295,111,9.163467660098329,24,Australia,Engineering,0.5810963232519155
312,111,6.623589742290837,58,Canada,MBA,0.44217579923323336
288,94,9.110068239559313,2,Germany,Engineering,0.41169864628132
339,113,7.208681960578331,14,USA,Computer Science,0.544041528192949
338,90,9.853257180417831,28,Germany,MBA,0.6626709188890411
285,115,7.787792629557296,52,USA,Engineering,0.5328970422362734
295,93,7.644260657183277,42,UK,Engineering,0.34453109723815506
308,104,7.0211081761635565,31,Germany,MBA,0.3727887978523894
282,109,7.569614754215753,25,Germany,Computer Science,0.270899802221258
299,108,9.568277666398702,59,Australia,Engineering,0.7388192193963155
339,92,9.987170181695365,15,Canada,Business Analytics,0.6863783570208928
338,109,7.789083356773969,24,USA,MBA,0.6228152660859139
315,100,8.070137208340899,53,USA,Data Science,0.4329625882694651
298,106,9.027248283709579,27,Australia,Data Science,0.5601888013486039
305,119,9.60168523162776,8,Australia,Computer Science,0.5905007916040583
282,116,8.575655169653745,55,Canada,Business Analytics,0.5285674596960699
298,102,7.870339943622403,55,Canada,Engineering,0.5119773026084405
299,100,7.944176442970183,0,Germany,Data Science,0.3511846050644714
311,91,8.934663512738824,28,UK,Computer Science,0.5694663421046009
286,98,6.511263922614975,56,Canada,Business Analytics,0.26732972762410184
331,115,8.668562681109442,21,Australia,Business Analytics,0.6541215978384424
320,91,7.744225536544751,15,Canada,Computer Science,0.41461371286693566
312,110,9.279690659469795,40,USA,Computer Science,0.5914330877137431
319,98,6.825467239380963,50,UK,Engineering,0.36284943503204037
318,98,8.558707934319367,43,Germany,Computer Science,0.6424136511935586
297,97,8.183405114601433,50,USA,Engineering,0.4181373158331384
319,106,8.748139340668295,53,USA,Engineering,0.5710301160285536
280,90,6.726987580690389,40,UK,MBA,0.2266263836597552
290,114,8.52994325599846,6,Germany,Business Analytics,0.44510602912973846
307,118,8.465196057858332,13,Australia,Business Analytics,0.5703177461990989
336,100,8.462310330456598,28,Germany,Business Analytics,0.5752405610203734
304,97,8.612206833087592,18,Canada,MBA,0.4555978951650755
329,99,8.867637780292268,18,USA,Engineering,0.6184659234350047
302,114,9.317461498882693,1,Canada,Engineering,0.513421357041124
310,96,7.44437252044875,40,Australia,Computer Science,0.37943730377512785
309,92,9.387672935630217,44,Canada,MBA,0.5199963784328739
321,92,8.243894887922087,14,Germany,Computer Science,0.43196679626158124
314,107,6.769703976970159,2,Canada,MBA,0.3395156245167234
286,94,6.704928252353927,10,Australia,Computer Science,0.1
339,101,7.669834115436213,52,Australia,Data Science,0.709060219299752
295,101,9.247139419890136,45,Australia,Business Analytics,0.4846542152178341
305,108,8.976883271593206,29,Germany,Business Analytics,0.5575636064065866
327,119,9.260152376353423,56,Australia,Engineering,0.8026244876882564
336,95,8.310441697545633,39,USA,Data Science,0.6003985810080003
331,91,8.040696492844218,17,Australia,Business Analytics,0.5471533382892424
339,101,7.016083843471994,50,Canada,Engineering,0.4847582358593087
328,108,7.64867463763259,47,Canada,Data Science,0.5562135748972481
281,94,8.019067781608562,1,Canada,Business Analytics,0.233833034105707
280,101,6.81010150387866,31,Germany,Computer Science,0.17259811086772947
327,116,7.27214183448924,7,Canada,MBA,0.4795035285499347
291,116,8.593788529223087,21,Germany,Data Science,0.4285263006455177
284,106,9.074820899837164,5,Germany,Engineering,0.403186072115551
316,118,9.994216289875324,11,Australia,Data Science,0.8034179271341559
311,106,9.765896659702452,46,USA,Engineering,0.6427692833833741
338,99,8.74897819837317,56,Australia,Data Science,0.6971606222791251
334,114,7.974368186529252,39,Australia,Engineering,0.5652221398413619
288,112,8.726620776478814,35,Germany,Business Analytics,0.51881973073048
320,106,9.249780663280813,14,Germany,Computer Science,0.6905341744978163
314,104,6.914176668231856,27,Canada,Business Analytics,0.3456639770047528
298,101,7.934667113937008,51,Canada,Computer Science,0.38618595515275034
327,119,9.43930799972466,56,Australia,Business Analytics,0.8071085916815202
295,105,7.843415331765654,48,UK,Business Analytics,0.4086803203795805
282,113,8.501552949295153,44,UK,Data Science,0.4487053062212984
299,108,8.557192763017694,17,Canada,MBA,0.5081993332705478
303,97,7.145666885967738,1,UK,Engineering,0.19284669953130512
333,110,7.7678240457830094,12,Canada,Engineering,0.5616480935702083
335,106,7.670789510596762,44,Germany,Engineering,0.5835310140343793
312,112,6.591688479862227,53,Australia,Computer Science,0.375740835650834
303,94,6.584671173619744,14,USA,Engineering,0.16315790238949326
331,111,9.410939652865206,19,Australia,Engineering,0.7570057365638583
290,105,7.455747834904844,28,Canada,Data Science,0.3499749934832101
328,95,8.313275681835854,58,Canada,Business Analytics,0.6046328471376018
287,97,7.545539507560706,41,Australia,Engineering,0.2317933228956208
315,114,9.792377357903693,28,Canada,MBA,0.7912574382094083
317,107,7.407538656030209,2,UK,Engineering,0.33381023438870383
319,114,8.003798844586273,18,UK,Computer Science,0.5449038834794507
299,101,9.554555876696107,2,Canada,Computer Science,0.502850466808653
314,104,9.44676748377133,53,Canada,Computer Science,0.7013449220994123
327,116,7.151354962461971,13,UK,Engineering,0.4475917521291106
304,115,9.309251584284986,39,Canada,Data Science,0.6945647629390574
314,98,8.103654103582624,58,Canada,MBA,0.3591716243207814
304,102,8.190391052298743,54,Australia,Engineering,0.565011074252494
308,115,6.967179903455803,3,USA,Data Science,0.28026660024667577
297,104,6.782105298149936,58,UK,Data Science,0.35263845099038227
325,99,9.04778757440818,59,Australia,Engineering,0.7264270036862527
297,105,8.237614033243549,51,USA,Engineering,0.5498333300431608
281,96,8.028977459153129,10,Canada,Data Science,0.24462773782297534
333,106,9.053278800283389,57,Canada,Data Science,0.7378478324292563
314,112,9.179295146468885,30,Australia,Data Science,0.5809674102008955
295,115,7.056178586842737,42,Canada,Engineering,0.35112310932409263
320,110,8.635788023171745,31,Germany,Data Science,0.523681288346906
315,111,6.973739287971899,26,Australia,Computer Science,0.3677173475955364
312,115,9.12981280110166,29,USA,Engineering,0.6434185033951081
283,96,8.799343046934988,42,Australia,Computer Science,0.37828626360540957
312,103,9.848151173792104,1,UK,Business Analytics,0.6122345313016289
293,104,6.7413530572474745,48,Australia,Engineering,0.2707780059966081
300,110,6.69969152402939,8,Canada,Business Analytics,0.2264375613940626
327,96,7.4876547614262,27,Canada,Data Science,0.32416729902541475
299,98,7.415969893075671,30,Germany,Data Science,0.24994701446008488
335,108,7.364425796751999,59,Germany,MBA,0.6434243562215436
287,105,9.671891031823629,33,Germany,Data Science,0.595214645855787
286,97,7.373411699473271,55,USA,Business Analytics,0.21037964404085263
282,107,7.451824041450209,14,Germany,Data Science,0.19804398138974588
296,116,9.157893918462873,47,USA,Engineering,0.6848575733471419
312,112,8.07408944857689,24,Germany,Data Science,0.47399399630995864
327,118,9.218486949343134,35,USA,MBA,0.7676096834258169
291,107,6.728781551475349,7,Australia,Data Science,0.2557367294765495
338,119,8.206499177856845,8,Australia,Business Analytics,0.631949611897184
330,109,6.617647600641489,57,Canada,Business Analytics,0.4757094695639572
301,96,6.719286212093741,57,USA,Data Science,0.2947094468525103
334,92,9.672531086705439,36,UK,Business Analytics,0.8252455212327559
301,107,6.987358798911583,47,Canada,Business Analytics,0.38550824026151204
325,116,8.36347238796326,44,Australia,MBA,0.6789223542990752
309,99,7.938834609102473,38,USA,Engineering,0.42322024325620344
317,96,7.71570164190595,31,Germany,MBA,0.4583781769125933
317,106,9.649416709905454,57,UK,Computer Science,0.800418326771449
324,103,6.576381888714213,51,Australia,MBA,0.36757043323642224
330,113,8.823263901614562,16,Canada,Data Science,0.7048472840675436
333,92,9.871880519747426,34,USA,Engineering,0.7378001593542486
287,101,8.460588642116447,36,UK,Data Science,0.40530720511616714
306,117,9.778878617115822,18,USA,Computer Science,0.6405145346638209
306,102,6.682902577501083,43,Germany,Engineering,0.29840405032296397
313,91,7.965776616759565,28,Canada,Business Analytics,0.35601021436852315
300,92,7.410552268367179,58,USA,MBA,0.30515220787900543
309,94,9.057873377432553,6,Australia,Data Science,0.4911828970136309
312,100,9.934539816740363,27,Canada,Computer Science,0.6522630079267434
307,97,7.397855218554867,8,Australia,Business Analytics,0.22763014148457833
326,115,8.78961110515926,27,USA,MBA,0.7930224729640485
312,112,7.19334171465909,5,Canada,Business Analytics,0.3055063011380992
284,112,8.478655891000635,28,Australia,MBA,0.48073724987961064
339,101,8.123763703409177,57,Germany,Engineering,0.6042498125942444
327,96,9.90201865371038,16,Germany,Business Analytics,0.7166272486110048
298,104,8.629845454437632,15,USA,Business Analytics,0.42838289064765195
283,113,7.723272302303865,22,Canada,Business Analytics,0.29334971226680717
314,106,6.899335247107767,30,UK,Engineering,0.3804754301434587
328,93,7.029363900572271,2,Canada,Computer Science,0.32361172431044044
